aORIGINAL_NAME,TEST_NAME,FAKE_ANSWER,ANSWER,BUCKET
Object1_AF,object00,Cell,Cell,CTC
Object2_AF,object01,Cell,Not Cell,Unidentified Cell
Object3_AF,object02,Cell,Not Cell,Unidentified Cell
Object4_AF,object03,Cell,Not Cell,Fluorescent Artifact
Object5_AF,object04,Cell,Not Cell,CK/EpCAM Foci
Object6_AF,object05,Cell,Not Cell,CK/EpCAM Foci
Object7_AF,object06,Cell,Not Cell,Fluorescent Artifact
Object8_AF,object07,Cell,Not Cell,CK/EpCAM Foci
Object9_AF,object08,Cell,Not Cell,CK/EpCAM Foci
Object10_AF,object09,Cell,Not Cell,White Blood Cell
Object11_AF,object10,Cell,Not Cell,Unidentified Cell
Object12_AF,object11,Cell,Not Cell,Apoptotic CTC
Object13_AF,object12,Cell,Not Cell,Fluorescent Artifact
Object14_AF,object13,Cell,Cell,CTC
Object15_AF,object14,Cell,Cell,CTC
Object16_AF,object15,Cell,Not Cell,Apoptotic CTC
Object17_AF,object16,Cell,Cell,CTC
Object18_AF,object17,Cell,Not Cell,Apoptotic CTC
Object19_AF,object18,Cell,Not Cell,Apoptotic CTC
Object20_AF,object19,Cell,Cell,CTC
Object21_AF,object20,Cell,Cell,CTC
Object22_AF,object21,Cell,Not Cell,Apoptotic CTC
Object23_AF,object22,Cell,Cell,CTC
Object24_AF,object23,Cell,Not Cell,Apoptotic CTC
Object25_AF,object24,Cell,Cell,CTC
Object26_AF,object25,Cell,Not Cell,White Blood Cell
Object27_AF,object26,Cell,Not Cell,Apoptotic CTC
Object28_AF,object27,Cell,Not Cell,Apoptotic CTC
Object29_AF,object28,Cell,Cell,CTC
Object30_AF,object29,Cell,Cell,CTC
Object31_AF,object30,Cell,Not Cell,Apoptotic CTC
Object32_AF,object31,Cell,Not Cell,Apoptotic CTC
Object33_AF,object32,Cell,Cell,CTC
Object34_AF,object33,Cell,Cell,CTC
Object35_AF,object34,Cell,Cell,CTC
Object36_AF,object35,Cell,Cell,CTC
Object37_AF,object36,Cell,Not Cell,Apoptotic CTC
Object38_AF,object37,Cell,Cell,CTC
Object39_AF,object38,Cell,Cell,CTC
Object40_AF,object39,Cell,Cell,CTC
Object41_AF,object40,Cell,Not Cell,Apoptotic CTC
Object42_AF,object41,Cell,Not Cell,Apoptotic CTC
